,Topics,Alpha,Beta,Coherence,Topic Diversity
0,1,0.01,0.01,0.1842586888555359,1.0
75,3,0.9099999999999999,0.01,0.31076393266249713,1.0
70,3,0.61,0.01,0.31530347495205896,1.0
86,3,asymmetric,0.31,0.3291571327814035,1.0
85,3,asymmetric,0.01,0.3267040455531528,1.0
84,3,symmetric,symmetric,0.30889943085228466,1.0
83,3,symmetric,0.9099999999999999,0.3026217141793426,1.0
82,3,symmetric,0.61,0.2985969798484806,1.0
81,3,symmetric,0.31,0.3090759899313736,1.0
80,3,symmetric,0.01,0.31530347495205896,1.0
79,3,0.9099999999999999,symmetric,0.30794731919075374,1.0
78,3,0.9099999999999999,0.9099999999999999,0.3210479643649273,1.0
77,3,0.9099999999999999,0.61,0.3241679993761872,1.0
76,3,0.9099999999999999,0.31,0.30355304191673615,1.0
74,3,0.61,symmetric,0.3049017961904447,1.0
29,1,asymmetric,symmetric,0.1842586888555359,1.0
73,3,0.61,0.9099999999999999,0.3101963014831903,1.0
72,3,0.61,0.61,0.30343746891638607,1.0
160,6,0.61,0.01,0.4032957505021804,1.0
60,3,0.01,0.01,0.32800031252276196,1.0
61,3,0.01,0.31,0.29404104529666325,1.0
62,3,0.01,0.61,0.3105314202785518,1.0
71,3,0.61,0.31,0.3083101802808846,1.0
64,3,0.01,symmetric,0.3091187934558109,1.0
65,3,0.31,0.01,0.31530347495205896,1.0
66,3,0.31,0.31,0.2989196003391301,1.0
67,3,0.31,0.61,0.3104631516879022,1.0
68,3,0.31,0.9099999999999999,0.3026217141793426,1.0
1,1,0.01,0.31,0.1842586888555359,1.0
89,3,asymmetric,symmetric,0.3280658650127631,1.0
16,1,0.9099999999999999,0.31,0.1842586888555359,1.0
9,1,0.31,symmetric,0.1842586888555359,1.0
15,1,0.9099999999999999,0.01,0.1842586888555359,1.0
14,1,0.61,symmetric,0.1842586888555359,1.0
13,1,0.61,0.9099999999999999,0.1842586888555359,1.0
12,1,0.61,0.61,0.1842586888555359,1.0
11,1,0.61,0.31,0.1842586888555359,1.0
10,1,0.61,0.01,0.1842586888555359,1.0
8,1,0.31,0.9099999999999999,0.1842586888555359,1.0
18,1,0.9099999999999999,0.9099999999999999,0.1842586888555359,1.0
7,1,0.31,0.61,0.1842586888555359,1.0
6,1,0.31,0.31,0.1842586888555359,1.0
5,1,0.31,0.01,0.1842586888555359,1.0
4,1,0.01,symmetric,0.1842586888555359,1.0
3,1,0.01,0.9099999999999999,0.1842586888555359,1.0
2,1,0.01,0.61,0.1842586888555359,1.0
17,1,0.9099999999999999,0.61,0.1842586888555359,1.0
69,3,0.31,symmetric,0.30528036372645,1.0
23,1,symmetric,0.9099999999999999,0.1842586888555359,1.0
28,1,asymmetric,0.9099999999999999,0.1842586888555359,1.0
20,1,symmetric,0.01,0.1842586888555359,1.0
21,1,symmetric,0.31,0.1842586888555359,1.0
27,1,asymmetric,0.61,0.1842586888555359,1.0
26,1,asymmetric,0.31,0.1842586888555359,1.0
25,1,asymmetric,0.01,0.1842586888555359,1.0
24,1,symmetric,symmetric,0.1842586888555359,1.0
19,1,0.9099999999999999,symmetric,0.1842586888555359,1.0
22,1,symmetric,0.61,0.1842586888555359,1.0
172,6,symmetric,0.61,0.39934507705354627,0.9833333333333333
153,6,0.01,0.9099999999999999,0.4099199039459329,0.9833333333333333
154,6,0.01,symmetric,0.37692639151198004,0.9833333333333333
155,6,0.31,0.01,0.3987055065142004,0.9833333333333333
157,6,0.31,0.61,0.4048171707381049,0.9833333333333333
158,6,0.31,0.9099999999999999,0.40846865157392237,0.9833333333333333
159,6,0.31,symmetric,0.3851733863240175,0.9833333333333333
179,6,asymmetric,symmetric,0.3742262847166169,0.9833333333333333
178,6,asymmetric,0.9099999999999999,0.4107999620635398,0.9833333333333333
174,6,symmetric,symmetric,0.39422585789236186,0.9833333333333333
152,6,0.01,0.61,0.39995844000089953,0.9833333333333333
145,5,asymmetric,0.01,0.3986825066137006,0.98
140,5,symmetric,0.01,0.37595143485863697,0.98
125,5,0.31,0.01,0.3776274299541968,0.98
235,8,asymmetric,0.01,0.4051763456518004,0.975
185,7,0.31,0.01,0.4202840284884811,0.9714285714285714
190,7,0.61,0.01,0.40677910725140665,0.9714285714285714
205,7,asymmetric,0.01,0.4064322585487374,0.9714285714285714
204,7,symmetric,symmetric,0.40691334023057507,0.9714285714285714
200,7,symmetric,0.01,0.41857743407094533,0.9714285714285714
180,7,0.01,0.01,0.4162498301604547,0.9714285714285714
150,6,0.01,0.01,0.3905314076353336,0.9666666666666667
250,9,0.61,0.01,0.42731874261596503,0.9666666666666667
88,3,asymmetric,0.9099999999999999,0.34591543867756047,0.9666666666666667
87,3,asymmetric,0.61,0.34392783021990453,0.9666666666666667
63,3,0.01,0.9099999999999999,0.3154715568821643,0.9666666666666667
163,6,0.61,0.9099999999999999,0.42022666279582604,0.9666666666666667
176,6,asymmetric,0.31,0.3737751196593835,0.9666666666666667
175,6,asymmetric,0.01,0.40179812028161915,0.9666666666666667
173,6,symmetric,0.9099999999999999,0.4085233674420628,0.9666666666666667
169,6,0.9099999999999999,symmetric,0.41808169774095966,0.9666666666666667
168,6,0.9099999999999999,0.9099999999999999,0.42536280499354223,0.9666666666666667
167,6,0.9099999999999999,0.61,0.43159596428606517,0.9666666666666667
166,6,0.9099999999999999,0.31,0.4136614297553802,0.9666666666666667
165,6,0.9099999999999999,0.01,0.43135417650690155,0.9666666666666667
170,6,symmetric,0.01,0.3916757262179554,0.9666666666666667
403,14,0.61,0.9099999999999999,0.42524599223592635,0.9642857142857143
320,11,symmetric,0.01,0.4343354826636871,0.9636363636363636
300,11,0.01,0.01,0.4248372729879191,0.9636363636363636
225,8,0.9099999999999999,0.01,0.43857887907159504,0.9625
