Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
7,0.31,0.01,0.3987848193063817,0.9714285714285714,0.3873909673261994
7,symmetric,0.01,0.39501888955879183,0.9714285714285714,0.38373263557139775
7,symmetric,symmetric,0.3953070179109665,0.9571428571428572,0.3783652885719251
6,symmetric,0.9099999999999999,0.3890021052890446,0.9666666666666667,0.37603536844607643
6,0.01,0.9099999999999999,0.3890021052890446,0.9666666666666667,0.37603536844607643
6,0.31,0.9099999999999999,0.38706017512263324,0.9666666666666667,0.3741581692852121
7,0.61,0.31,0.3904931553814895,0.9571428571428572,0.3737577344365685
6,0.01,0.61,0.38563864964962985,0.9666666666666667,0.37278402799464216
6,0.01,symmetric,0.37867054328580035,0.9833333333333333,0.3723593675643703
7,0.9099999999999999,0.01,0.38331067555200876,0.9714285714285714,0.3723589419648085
8,0.31,symmetric,0.38651050958860383,0.9625,0.3720163654790312
7,0.61,symmetric,0.3875143859046539,0.9571428571428572,0.3709066265087402
7,0.31,0.31,0.3875062911393598,0.9571428571428572,0.3708988786619587
7,0.31,symmetric,0.3874128964559262,0.9571428571428572,0.3708094866078151
6,0.01,0.31,0.38329053239186117,0.9666666666666667,0.3705141813121325
6,symmetric,0.31,0.38206137352970804,0.9666666666666667,0.3693259944120511
7,symmetric,0.31,0.38570692471800416,0.9571428571428572,0.36917662794437545
7,0.61,0.61,0.38563137264824787,0.9571428571428572,0.3691043138204658
7,0.01,0.01,0.3855667457634105,0.9571428571428572,0.36904245665926433
7,0.01,symmetric,0.3913617509163961,0.9428571428571428,0.368998222292602
6,symmetric,0.01,0.37520198744303146,0.9833333333333333,0.36894862098564757
7,symmetric,0.61,0.3902608890949632,0.9428571428571428,0.3679602668609653
6,0.31,0.31,0.38050232197560924,0.9666666666666667,0.3678189112430889
7,0.61,0.01,0.378305206177667,0.9714285714285714,0.36749648600116225
6,symmetric,0.61,0.3792687879634973,0.9666666666666667,0.36662649503138073
8,0.31,0.01,0.3808037929254772,0.9625,0.36652365069077186
8,asymmetric,symmetric,0.37506195288032435,0.975,0.36568540405831623
6,0.9099999999999999,0.9099999999999999,0.38480264071929865,0.95,0.3655625086833337
6,symmetric,symmetric,0.37813938863778995,0.9666666666666667,0.3655347423498636
7,0.01,0.31,0.3818068705824104,0.9571428571428572,0.3654437189860214
6,0.31,0.61,0.37797203789450723,0.9666666666666667,0.3653729699646903
6,0.9099999999999999,0.01,0.3845649509648747,0.95,0.36533670341663094
7,asymmetric,0.01,0.3757466891489488,0.9714285714285714,0.3650110694589789
6,asymmetric,0.9099999999999999,0.3770216618422206,0.9666666666666667,0.3644542731141466
7,0.61,0.9099999999999999,0.3863792131248144,0.9428571428571428,0.36430040094625354
7,0.31,0.9099999999999999,0.3862040662314795,0.9428571428571428,0.36413526244682354
8,symmetric,symmetric,0.37342063866437203,0.975,0.3640851226977627
