Topics,Alpha,Beta,Coherence,Topic Diversity,Topic Quality
6,0.61,0.9099999999999999,0.4002712300384075,0.9666666666666667,0.3869288557037939
7,asymmetric,0.01,0.3907978502171837,0.9857142857142858,0.3852150237855097
6,0.31,0.9099999999999999,0.39665624470756805,0.9666666666666667,0.38343436988398244
6,0.31,0.61,0.3964149467756868,0.9666666666666667,0.38320111521649725
9,0.61,symmetric,0.39528632452453616,0.9666666666666667,0.3821101137070516
7,asymmetric,0.31,0.39844576995396835,0.9571428571428572,0.3813695226702269
6,asymmetric,0.9099999999999999,0.3942578425387165,0.9666666666666667,0.3811159144540926
7,0.31,symmetric,0.3919351896996482,0.9714285714285714,0.38073704142251535
6,0.9099999999999999,0.9099999999999999,0.3938041425094208,0.9666666666666667,0.3806773377591068
7,asymmetric,symmetric,0.3957118024598237,0.9571428571428572,0.3787527252115455
7,0.9099999999999999,symmetric,0.39525456534468917,0.9571428571428572,0.3783150839727739
7,symmetric,0.01,0.3894351903412862,0.9714285714285714,0.3783084706172495
7,0.61,0.01,0.3893252479472164,0.9714285714285714,0.3782016694344388
7,0.61,0.9099999999999999,0.4009021169642512,0.9428571428571428,0.377993424566294
6,asymmetric,0.61,0.39089272111935475,0.9666666666666667,0.3778629637487096
8,0.01,0.61,0.4081614294402178,0.925,0.3775493222322015
6,0.01,0.61,0.39021804203904503,0.9666666666666667,0.3772107739710769
6,symmetric,0.9099999999999999,0.3898124940755889,0.9666666666666667,0.3768187442730693
6,0.01,0.9099999999999999,0.3898124940755889,0.9666666666666667,0.3768187442730693
8,0.61,0.01,0.3861605209044059,0.975,0.37650650788179574
7,symmetric,symmetric,0.3931651840902628,0.9571428571428572,0.37631524762925156
6,0.9099999999999999,0.01,0.3953161254632847,0.95,0.37555031919012044
8,0.01,0.9099999999999999,0.4058016400680823,0.925,0.37536651706297613
7,0.31,0.01,0.38613018344447253,0.9714285714285714,0.3750978924889162
7,0.31,0.31,0.391697913257193,0.9571428571428572,0.37491085983188477
7,symmetric,0.31,0.391697913257193,0.9571428571428572,0.37491085983188477
6,symmetric,0.61,0.38782370020768653,0.9666666666666667,0.374896243534097
7,0.61,0.61,0.39757107765645905,0.9428571428571428,0.3748527303618042
7,0.31,0.9099999999999999,0.3972131427603577,0.9428571428571428,0.37451524888833726
9,0.61,0.01,0.39140642581475876,0.9555555555555556,0.3740105846674362
8,0.01,0.01,0.3936361283094556,0.95,0.3739543218939828
6,0.61,0.31,0.39342389142917117,0.95,0.3737526968577126
6,0.61,0.61,0.4002712300384075,0.9333333333333333,0.3735864813691803
9,0.61,0.31,0.3900064077398353,0.9555555555555556,0.3726727896180649
8,0.01,symmetric,0.39147590625004103,0.95,0.37190211093753894
8,symmetric,symmetric,0.39147590625004103,0.95,0.37190211093753894
